date,location,description,LST_diff_1km,NDVI,NDWI,VH_gamma0,VV_gamma0
2017-05-15,field1,fallow,21.051,0.022,-0.123,-21.782,-13.83
2017-05-16,field1,fallow,21.051,0.022,-0.123,-21.782,-13.83
2017-05-17,field1,fallow,21.051,0.022,-0.123,-21.782,-13.83
2017-05-18,field1,fallow,19.678,0.022,-0.123,-25.152,-15.899
2017-05-19,field1,fallow,22.411,0.022,-0.123,-25.152,-15.899
2017-05-20,field1,fallow,15.706,0.022,-0.123,-25.152,-15.899
2017-05-21,field1,fallow,14.317,0.022,-0.123,-25.152,-15.899
2017-05-22,field1,fallow,14.317,0.022,-0.123,-25.152,-15.899
2017-05-23,field1,fallow,12.437,0.022,-0.123,-25.152,-15.899
2017-05-24,field1,fallow,7.961,0.022,-0.123,-25.152,-15.899
2017-05-25,field1,fallow,7.961,0.022,-0.123,-28.458,-18.576
2017-05-26,field1,fallow,10.754,0.022,-0.123,-28.458,-18.576
2017-05-27,field1,fallow,9.118,0.022,-0.123,-28.458,-18.576
2017-05-28,field1,fallow,11.432,0.022,-0.123,-28.458,-18.576
2017-05-29,field1,fallow,8.384,0.022,-0.123,-28.458,-18.576
2017-05-30,field1,fallow,8.384,0.022,-0.123,-25.983,-19.102
2017-05-31,field1,fallow,8.384,0.022,-0.123,-25.983,-19.102
2017-06-01,field1,fallow,8.384,0.022,-0.123,-25.983,-19.102
2017-06-02,field1,fallow,8.752,0.022,-0.123,-25.983,-19.102
2017-06-03,field1,fallow,8.752,0.022,-0.123,-25.983,-19.102
2017-06-04,field1,fallow,6.307,0.022,-0.123,-25.983,-19.102
2017-06-05,field1,fallow,-0.629,0.022,-0.123,-25.983,-19.102
2017-06-06,field1,fallow,14.944,0.022,-0.123,-27.31,-16.734
2017-06-07,field1,fallow,14.944,0.022,-0.123,-27.31,-16.734
2017-06-08,field1,fallow,14.944,0.022,-0.123,-27.31,-16.734
2017-06-09,field1,fallow,14.944,0.022,-0.123,-27.31,-16.734
2017-06-10,field1,fallow,8.664,0.022,-0.123,-27.31,-16.734
2017-06-11,field1,fallow,9.799,0.022,-0.123,-25.849,-18.563
2017-06-12,field1,fallow,9.799,0.022,-0.123,-25.849,-18.563
2017-06-13,field1,fallow,9.799,0.022,-0.123,-25.849,-18.563
2017-06-14,field1,fallow,8.48,0.022,-0.123,-25.849,-18.563
2017-06-15,field1,fallow,8.48,0.022,-0.123,-25.849,-18.563
2017-06-16,field1,fallow,5.312,0.022,-0.123,-25.849,-18.563
2017-06-17,field1,fallow,5.312,0.022,-0.123,-25.849,-18.563
2017-06-18,field1,fallow,6.92,0.022,-0.123,-25.849,-18.563
2017-06-19,field1,fallow,6.452,0.189,-0.309,-25.849,-18.563
2017-06-20,field1,fallow,7.836,0.189,-0.309,-25.849,-18.563
2017-06-21,field1,fallow,2.799,0.189,-0.309,-25.849,-18.563
2017-06-22,field1,fallow,7.102,0.189,-0.309,-25.849,-18.563
2017-06-23,field1,fallow,6.285,0.189,-0.309,-16.927,-10.024
2017-06-24,field1,fallow,8.89,0.189,-0.309,-16.927,-10.024
2017-06-25,field1,fallow,8.422,0.189,-0.309,-16.927,-10.024
2017-06-26,field1,fallow,5.488,0.189,-0.309,-16.927,-10.024
2017-06-27,field1,fallow,10.044,0.189,-0.309,-16.927,-10.024
2017-06-28,field1,fallow,6.586,0.189,-0.309,-16.927,-10.024
2017-06-29,field1,fallow,9.847,0.189,-0.309,-16.927,-10.024
2017-06-30,field1,fallow,3.0,0.189,-0.309,-18.455,-10.555
2017-07-01,field1,fallow,10.777,0.189,-0.309,-18.455,-10.555
2017-07-02,field1,fallow,6.842,0.189,-0.309,-18.455,-10.555
2017-07-03,field1,fallow,9.644,0.189,-0.309,-18.455,-10.555
2017-07-04,field1,fallow,11.473,0.238,-0.616,-18.455,-10.555
2017-07-05,field1,fallow,10.037,0.238,-0.616,-18.379,-11.508
2017-07-06,field1,fallow,12.681,0.238,-0.616,-18.379,-11.508
2017-07-07,field1,fallow,8.358,0.238,-0.616,-18.379,-11.508
2017-07-08,field1,fallow,10.364,0.238,-0.616,-18.379,-11.508
2017-07-09,field1,fallow,8.323,0.228,-0.648,-18.379,-11.508
2017-07-10,field1,fallow,10.888,0.228,-0.648,-18.379,-11.508
2017-07-11,field1,fallow,6.996,0.228,-0.648,-18.379,-11.508
2017-07-12,field1,fallow,9.564,0.228,-0.648,-19.026,-13.278
2017-07-13,field1,fallow,9.459,0.228,-0.648,-19.026,-13.278
2017-07-14,field1,fallow,8.284,0.228,-0.648,-19.026,-13.278
2017-07-15,field1,fallow,11.564,0.228,-0.648,-19.026,-13.278
2017-07-16,field1,fallow,10.326,0.228,-0.648,-19.026,-13.278
2017-07-17,field1,fallow,9.56,0.228,-0.648,-17.551,-12.639
2017-07-18,field1,fallow,7.205,0.228,-0.648,-17.551,-12.639
2017-07-19,field1,fallow,12.706,0.228,-0.648,-17.551,-12.639
2017-07-20,field1,fallow,11.389,0.228,-0.648,-17.551,-12.639
2017-07-21,field1,fallow,10.189,0.228,-0.648,-17.551,-12.639
2017-07-22,field1,fallow,9.436,0.228,-0.648,-17.551,-12.639
2017-07-23,field1,fallow,3.339,0.228,-0.648,-17.551,-12.639
2017-07-24,field1,fallow,8.87,0.22,-0.679,-20.736,-17.726
2017-07-25,field1,fallow,9.352,0.22,-0.679,-20.736,-17.726
2017-07-26,field1,fallow,10.508,0.22,-0.679,-20.736,-17.726
2017-07-27,field1,fallow,11.221,0.22,-0.679,-20.736,-17.726
2017-07-28,field1,fallow,10.636,0.22,-0.679,-20.736,-17.726
2017-07-29,field1,fallow,10.407,0.274,-0.688,-18.344,-16.433
2017-07-30,field1,fallow,9.457,0.274,-0.688,-18.344,-16.433
2017-07-31,field1,fallow,8.799,0.274,-0.688,-18.344,-16.433
2017-08-01,field1,fallow,9.302,0.274,-0.688,-18.344,-16.433
2017-08-02,field1,fallow,9.332,0.274,-0.688,-18.344,-16.433
2017-08-03,field1,fallow,8.484,0.274,-0.688,-18.344,-16.433
2017-08-04,field1,fallow,8.484,0.274,-0.688,-18.344,-16.433
2017-08-05,field1,fallow,8.484,0.274,-0.688,-15.4,-10.647
2017-08-06,field1,fallow,7.492,0.274,-0.688,-15.4,-10.647
2017-08-07,field1,fallow,7.492,0.274,-0.688,-15.4,-10.647
2017-08-08,field1,fallow,7.873,0.274,-0.688,-15.4,-10.647
2017-08-09,field1,fallow,8.884,0.274,-0.688,-15.4,-10.647
2017-08-10,field1,fallow,7.877,0.274,-0.688,-13.024,-9.791
2017-08-11,field1,fallow,9.953,0.274,-0.688,-13.024,-9.791
2017-08-12,field1,fallow,9.12,0.274,-0.688,-13.024,-9.791
2017-08-13,field1,fallow,8.732,0.33,-0.6,-13.024,-9.791
2017-08-14,field1,fallow,8.732,0.33,-0.6,-13.024,-9.791
2017-08-15,field1,fallow,7.688,0.33,-0.6,-13.024,-9.791
2017-08-16,field1,fallow,7.688,0.33,-0.6,-13.024,-9.791
2017-08-17,field1,fallow,10.91,0.33,-0.6,-12.7,-9.22
